i,j,ux,uy,phase
2,62,-6.09817e-07,4.77753e-06,-1
2,63,-5.65958e-07,5.08304e-06,-1
2,64,-5.2019e-07,5.36621e-06,-1
2,65,-4.72177e-07,5.62547e-06,-1
2,66,-4.21471e-07,5.85919e-06,-1
2,67,-3.67555e-07,6.06554e-06,-1
2,68,-3.09893e-07,6.24253e-06,-1
2,69,-2.47987e-07,6.38796e-06,-1
2,70,-1.81433e-07,6.49948e-06,-1
2,71,-1.09981e-07,6.57461e-06,-1
2,72,-3.35846e-08,6.61082e-06,-1
2,73,4.75504e-08,6.60568e-06,-1
2,74,1.32923e-07,6.55697e-06,-1
2,75,2.21705e-07,6.46284e-06,-1
2,76,3.1272e-07,6.32199e-06,-1
2,77,4.0443e-07,6.13383e-06,-1
2,78,4.94939e-07,5.89873e-06,-1
2,79,5.82025e-07,5.61811e-06,-1
2,80,6.63194e-07,5.29468e-06,-1
2,81,7.35773e-07,4.9325e-06,-1
2,82,7.97044e-07,4.53705e-06,-1
2,83,8.44414e-07,4.11515e-06,-1
2,84,8.75602e-07,3.67489e-06,-1
2,85,8.88839e-07,3.22531e-06,-1
2,86,8.83054e-07,2.77611e-06,-1
2,87,8.58013e-07,2.33717e-06,-1
2,88,8.14411e-07,1.91815e-06,-1
2,89,7.5389e-07,1.52797e-06,-1
2,90,6.78982e-07,1.17436e-06,-1
2,91,5.92988e-07,8.63448e-07,-1
2,92,4.99805e-07,5.99494e-07,-1
2,93,4.03712e-07,3.84646e-07,-1
2,94,3.09138e-07,2.18858e-07,-1
2,95,2.20435e-07,9.99103e-08,-1
2,96,1.4166e-07,2.35282e-08,-1
2,97,7.63925e-08,-1.64067e-08,-1
2,98,2.75717e-08,-2.75717e-08,-1
2,99,-2.61762e-09,-1.88606e-08,-1
3,0,-4.41697e-08,-2.66888e-15,-1
3,1,-2.88622e-08,4.32488e-08,-1
3,2,1.64067e-08,7.63925e-08,-1
3,3,8.96971e-08,8.96971e-08,-1
3,4,1.87848e-07,7.41643e-08,-1
3,5,3.06588e-07,2.18814e-08,-1
3,6,4.40697e-07,-7.3653e-08,-1
3,7,5.84217e-07,-2.17241e-07,-1
3,8,7.3071e-07,-4.11749e-07,-1
3,9,8.73567e-07,-6.57941e-07,-1
3,10,1.00633e-06,-9.544e-07,-1
3,11,1.12306e-06,-1.29755e-06,-1
3,12,1.2186e-06,-1.68178e-06,-1
3,13,1.28894e-06,-2.09969e-06,-1
3,14,1.33133e-06,-2.54245e-06,-1
3,15,1.34448e-06,-3.00021e-06,-1
3,16,1.32848e-06,-3.46263e-06,-1
3,17,1.28475e-06,-3.91931e-06,-1
3,18,1.21583e-06,-4.36035e-06,-1
3,19,1.12508e-06,-4.77672e-06,-1
3,20,1.01642e-06,-5.16058e-06,-1
3,21,8.94001e-07,-5.50554e-06,-1
3,22,7.6195e-07,-5.80669e-06,-1
3,23,6.24133e-07,-6.0606e-06,-1
3,24,4.84013e-07,-6.26526e-06,-1
3,25,3.44548e-07,-6.41985e-06,-1
3,26,2.08149e-07,-6.52462e-06,-1
3,27,7.66709e-08,-6.58061e-06,-1
3,28,-4.85646e-08,-6.58952e-06,-1
3,29,-1.66732e-07,-6.5535e-06,-1
3,30,-2.77447e-07,-6.47497e-06,-1
3,31,-3.80702e-07,-6.35651e-06,-1
3,32,-4.76792e-07,-6.20077e-06,-1
3,33,-5.66224e-07,-6.01033e-06,-1
3,34,-6.49633e-07,-5.78774e-06,-1
3,35,-7.27688e-07,-5.53545e-06,-1
3,36,-8.01008e-07,-5.2559e-06,-1
3,37,-8.7009e-07,-4.95153e-06,-1
3,38,-9.3525e-07,-4.62486e-06,-1
3,39,-9.96588e-07,-4.27858e-06,-1
3,40,-1.05399e-06,-3.91558e-06,-1
3,41,-1.10714e-06,-3.53898e-06,-1
3,42,-1.1556e-06,-3.15204e-06,-1
3,43,-1.19888e-06,-2.7581e-06,-1
3,44,-1.23652e-06,-2.36034e-06,-1
3,45,-1.26822e-06,-1.96157e-06,-1
3,46,-1.29382e-06,-1.56401e-06,-1
3,47,-1.31339e-06,-1.16903e-06,-1
